1. **Ho preparato del caffè per te.**, (I made some coffee for you.),  
2. **Vorrei dell’acqua minerale per favore.**, (I would like some mineral water please.),  
3. **Ci sono degli studenti in classe.**, (There are some students in the classroom.),  
4. **Abbiamo comprato della carne per la cena.**, (We bought some meat for dinner.),  
5. **Puoi prendere delle patate al mercato?**, (Can you get some potatoes at the market?),  
6. **C’è del burro nel frigorifero.**, (There is some butter in the fridge.),  
7. **Abbiamo assaggiato del gelato delizioso.**, (We tasted some delicious gelato.),  
8. **Lui ha letto dei libri molto interessanti.** ,(He read some very interesting books.),  
9. **Ho trovato degli amici al bar.**, (I met some friends at the bar.),  
10. **Devo comprare dell’insalata per il pranzo.**, (I need to buy some salad for lunch.),  
11. **C’è dello spazio libero qui.**, (There is some free space here.),  
12. **Mangiamo della frutta dopo cena.**, (We eat some fruit after dinner.),  
13. **Hanno portato degli strumenti musicali.**, (They brought some musical instruments.),  
14. **Hai visto delle foto del viaggio?**, (Did you see some photos of the trip?),  
15. **C’è dell’aria fresca in montagna.**, (There is some fresh air in the mountains.).  
